CountryName|City Parent Division|CityName|Variant Names|Coordinate
Argentina|Buenos Aires|La Plata|Berisso, Ensenada|-57.96,-34.92,0
Argentina|Buenos Aires|Mar del Plata|\N|-57.58,-38,0
Argentina|Buenos Aires|Bahía Blanca|Eva Perón|-62.28,-38.72,0
Argentina|Buenos Aires|San Nicolás|San Nicolás de los Arroyos|-60.24,-33.33,0
Argentina|Buenos Aires|Tandil|\N|-59.15,-37.32,0
Argentina|Buenos Aires|Zárate|Uriburu, General José Uriburu|-59.04,-34.09,0
Argentina|Buenos Aires|Olavarría|\N|-60.33,-36.9,0
Argentina|Buenos Aires|Pergamino|\N|-60.57,-33.9,0
Argentina|Buenos Aires|Campana|\N|-58.96,-34.16,0
Argentina|Buenos Aires|Junín|Junin|-60.96,-34.59,0
Argentina|Buenos Aires|Necochea|Quequén|-58.75,-38.56,0
Argentina|Buenos Aires|Luján|\N|-59.11,-34.58,0
Argentina|Buenos Aires|Chivilcoy|\N|-60.04,-34.9,0
Argentina|Buenos Aires|Punta Alta|Est. Almirante Solier|-62.08,-38.88,0
Argentina|Buenos Aires|Mercedes|Villa Mercedes|-59.44,-34.66,0
Argentina|Buenos Aires|Azul|\N|-59.87,-36.78,0
Argentina|Buenos Aires|San Pedro|San Pedro de Jujuy|-59.68,-33.67,0
Argentina|Buenos Aires|Tres Arroyos|\N|-60.27,-38.37,0
Argentina|Buenos Aires|Chacabuco|\N|-60.49,-34.65,0
Argentina|Buenos Aires|Pinamar|\N|-56.83,-37.12,0
Argentina|Buenos Aires|9 de Julio|\N|-60.89,-35.45,0
Argentina|Buenos Aires|Balcarce|\N|-58.25,-37.83,0
Argentina|Chaco|Resistencia|Barranqueras, Fontana, Puerto Vilelas|-58.99,-27.46,0
Argentina|Chaco|Presidencia Roque Sáenz Peña|\N|-60.45,-26.79,0
Argentina|Chaco|Villa Ángela|\N|-60.72,-27.58,0
Argentina|Chaco|Juan José Castelli|\N|-60.62,-25.95,0
Argentina|Chubut|Comodoro Rivadavia|\N|-67.49,-45.86,0
Argentina|Chubut|Trelew|\N|-65.33,-43.25,0
Argentina|Chubut|Puerto Madryn|\N|-65.04,-42.77,0
Argentina|Córdoba|Córdoba|La Calera, Villa Allende, Río Ceballos, Unquillo|-64.19,-31.4,0
Argentina|Córdoba|Río Cuarto|Las Higueras|-64.35,-33.13,0
Argentina|Córdoba|Villa María|Villa Nueva|-63.26,-32.41
Argentina|Córdoba|Villa Carlos Paz|Villa Carlos Paz-San Antonio de Arredondo-Villa Río Icho Cruz, San Antonio de Arredondo, Villa Río Icho Cruz|-64.5,-31.42,0
Argentina|Córdoba|San Francisco|\N|-62.09,-31.43,0
Argentina|Córdoba|Jesús María-Colonia Caroya|Jesús María, Colonia Caroya|-64.08,-31.03,0
Argentina|Córdoba|Alta Gracia|\N|-64.43,-31.66,0
Argentina|Córdoba|Río Tercero|\N|-64.12,-32.18,0
Argentina|Córdoba|Villa Dolores|San Pedro, Villa Sarmiento, Villa de las Rosas|-65.2,-31.93,0
Argentina|Córdoba|Cosquín|Santa María de Punilla, Bialet Massé|-64.48,-31.25,0
Argentina|Corrientes|Corrientes|\N|-58.81,-27.49,0
Argentina|Corrientes|Goya|\N|-59.27,-29.14,0
Argentina|Corrientes|Paso de los Libres|\N|-57.08,-29.72,0
Argentina|Distrito Federal|Buenos Aires|\N|-58.37,-34.61,0
Argentina|Entre Ríos|Paraná|\N|-60.52,-31.74,0
Argentina|Entre Ríos|Concordia|\N|-58.03,-31.39,0
Argentina|Entre Ríos|Gualeguaychú|Pueblo General Belgrano|-58.52,-33.02,0
Argentina|Entre Ríos|Concepción del Uruguay|\N|-58.24,-32.48,0
Argentina|Entre Ríos|Gualeguay|\N|-59.34,-33.15,0
Argentina|Formosa|Formosa|\N|-58.18,-26.18,0
Argentina|Formosa|Clorinda|\N|-57.72,-25.28,0
Argentina|Jujuy|Jujuy|San Salvador de Jujuy, Palpalá|-65.3,-24.19,0
Argentina|Jujuy|San Pedro|San Pedro de Jujuy|-64.87,-24.22,0
Argentina|Jujuy|Perico|\N|-65.1,-24.38,0
Argentina|Jujuy|Libertador General San Martín|Ledesma|-64.79,-23.82,0
Argentina|La Pampa|Santa Rosa|Toay|-64.3,-36.62,0
Argentina|La Pampa|General Pico|\N|-63.77,-35.66,0
Argentina|La Rioja|La Rioja|\N|-66.85,-29.41,0
Argentina|Mendoza|Mendoza|Godoy Cruz, Guaymallén, Las Heras, Luján de Cuyo, Maipú|-68.83,-32.89,0
Argentina|Mendoza|San Rafael|San Rafael de Oreamuno|-68.34,-34.62,0
Argentina|Mendoza|San Martín|San Martín-La Colonia, La Colonia|-68.49,-33.07,0
Argentina|Misiones|Posadas|Garupá|-55.91,-27.4,0
Argentina|Misiones|Oberá|\N|-55.13,-27.48,0
Argentina|Misiones|Eldorado|\N|-54.6,-26.2,0
Argentina|Neuquén|Neuquén|Neuquén-Plottier, Plottier|-68.06,-38.95,0
Argentina|Neuquén|Cutral Có|Cutral-Có, Plaza Huincul|-69.24,-38.94,0
Argentina|Río Negro|Bariloche|San Carlos de Bariloche|-71.32,-41.14,0
Argentina|Río Negro|General Roca|\N|-67.61,-39.02,0
Argentina|Río Negro|Cipolletti|\N|-67.98,-38.93,0
Argentina|Río Negro|Viedma|\N|-63,-40.81,0
Argentina|Salta|Salta|\N|-65.41,-24.79,0
Argentina|Salta|San Ramón de la Nueva Orán|\N|-64.32,-23.14,0
Argentina|Salta|Tartagal|El Tajamar|-63.81,-22.55,0
Argentina|San Juan|San Juan|Santa Lucía, Chimbas, Rawson, Rivadavia, Villa Barbosa, Villa Nacusi|-68.53,-31.54,0
Argentina|San Luis|San Luis|Juana Koslay|-66.35,-33.31,0
Argentina|San Luis|Mercedes|Villa Mercedes|-65.47,-33.69,0
Argentina|Santa Cruz|Río Gallegos|\N|-69.24,-51.62,0
Argentina|Santa Cruz|Caleta Olivia|\N|-67.53,-46.43,0
Argentina|Santa Fé|Rosario|San Lorenzo, Capitán Bermúdez, Fray Luis Beltrán, Funes, Granadero Baigorria, Pérez, Puerto General San Martín, Roldán, Soldini, Villa Gobernador Gálvez|-60.67,-32.94,0
Argentina|Santa Fé|Santa Fé|Santa Fe, Santo Tomé, Recreo, San José del Rincón|-60.69,-31.6,0
Argentina|Santa Fé|Reconquista|Reconquista-Avellaneda, Avellaneda|-59.65,-29.14,0
Argentina|Santa Fé|Rafaela|\N|-61.5,-31.25,0
Argentina|Santa Fé|Venado Tuerto|\N|-61.97,-33.75,0
Argentina|Santa Fé|Villa Constitución|\N|-60.35,-33.23,0
Argentina|Santa Fé|Esperanza|\N|-60.93,-31.45,0
Argentina|Santiago del Estero|Santiago del Estero|Santiago del Estero La Banda, Santiago del Estero-La Banda, La Banda|-64.28,-27.8,0
Argentina|Tierra del Fuego|Río Grande|Rio Grande do Sul|-67.7,-53.78,0
Argentina|Tierra del Fuego|Ushuaia|\N|-68.31,-54.79,0
Argentina|Tucumán|Tucumán|San Miguel de Tucumán, Alderetes, Banda del Río Salí, El Colmenar, Marcos Paz, Villa Mariano Moreno, Yerba Buena|-65.22,-26.83,0
Argentina|Tucumán|Concepción|San Roque|-65.58,-27.33,0
Argentina|Tucumán|Tafí Viejo|\N|-65.27,-26.73,0
Belize|Belize|Belize|Belize City, Belice|-88.19,17.5,0
Belize|Belize|San Pedro|San Pedro de Jujuy|-87.96,17.92,0
Belize|Cayo|San Ignacio|Santa Elena, Cayo|-89.06,17.16,0
Belize|Cayo|Belmopan|\N|-88.79,17.25,0
Belize|Cayo|Benque Viejo|Benque Viejo del Carmen|-89.12,17.09,0
Belize|Corozal|Corozal|\N|-88.39,18.4,0
Belize|Orange Walk|Orange Walk|\N|-88.56,18.09,0
Belize|Stann Creek|Dangriga|Stann Creek|-88.22,16.97,0
